时间,游戏APP数量
2025/2/28 0:00,11028
2025/1/31 0:00,11135
2024/12/31 0:00,11063
2024/11/30 0:00,11323
2024/10/31 0:00,11530
2024/9/30 0:00,11637
2024/8/31 0:00,11805
2024/7/31 0:00,12351
2024/6/30 0:00,12361
2024/5/31 0:00,12343
2024/4/30 0:00,12607
2024/3/31 0:00,12677
2024/2/29 0:00,12770
2024/1/31 0:00,12861
2023/12/31 0:00,13080
2023/11/30 0:00,13155
2023/10/31 0:00,13259
2023/9/30 0:00,13248
2023/8/31 0:00,13202
2023/7/31 0:00,13116
2023/6/30 0:00,13123
2023/5/31 0:00,13170
2023/4/30 0:00,13195
2023/3/31 0:00,13185
2023/2/28 0:00,13348
2023/1/31 0:00,13367
2022/12/31 0:00,13284
2022/11/30 0:00,12304
2022/10/31 0:00,12846
2022/9/30 0:00,12460
2022/8/31 0:00,12132
2022/7/31 0:00,11763
2022/6/30 0:00,11327
2022/5/31 0:00,10910
2022/4/30 0:00,10532
2022/3/31 0:00,10087
2022/2/28 0:00,9644
2022/1/31 0:00,9160
2021/12/31 0:00,8738
2021/11/30 0:00,8377
2021/10/31 0:00,8083
2021/9/30 0:00,7852
2021/8/31 0:00,7592
2021/7/31 0:00,7359
2021/6/30 0:00,7108
2021/5/31 0:00,6897
2021/4/30 0:00,6692
2021/3/31 0:00,6462
2021/2/28 0:00,6142
2021/1/31 0:00,5845
2020/12/31 0:00,5606
2020/11/30 0:00,5293
2020/10/31 0:00,5061
2020/9/30 0:00,4860
2020/8/31 0:00,4631
2020/7/31 0:00,4454
2020/6/30 0:00,4219
2020/5/31 0:00,4026
2020/4/30 0:00,3863
2020/3/31 0:00,3676
2020/2/29 0:00,3505
2020/1/31 0:00,3341
2019/12/31 0:00,3215
2019/11/30 0:00,3112
