时间,游戏APP预估下载量:iphone:游戏:当期值:月
2024/12/31 0:00,5396811
2024/11/30 0:00,5652574
2024/10/31 0:00,3945351
2024/9/30 0:00,3289810
2024/8/31 0:00,3823312
2024/7/31 0:00,4897582
2024/6/30 0:00,5164207
2024/5/31 0:00,6642252
2024/4/30 0:00,4785942
2024/3/31 0:00,5086237
2024/2/29 0:00,4109355
2024/1/31 0:00,7311680
2023/12/31 0:00,7052491
2023/11/30 0:00,9760624
2023/10/31 0:00,7352696
2023/9/30 0:00,6933706
2023/8/31 0:00,6302534
2023/7/31 0:00,6158451
2023/6/30 0:00,3361536
2023/5/31 0:00,4809246
2023/4/30 0:00,5469952
2023/3/31 0:00,3534821
2023/2/28 0:00,2651053
2023/1/31 0:00,2785859
2022/12/31 0:00,3943182
2022/11/30 0:00,3990135
2022/10/31 0:00,3851428
2022/9/30 0:00,3397259
2022/8/31 0:00,3395776
2022/7/31 0:00,3805541
2022/6/30 0:00,4217500
2022/5/31 0:00,3290982
2022/4/30 0:00,4586034
2022/3/31 0:00,5163128
2022/2/28 0:00,5556117
2022/1/31 0:00,4318711
2021/12/31 0:00,5184520
2021/11/30 0:00,5263427
2021/10/31 0:00,3894501
2021/9/30 0:00,3235387
2021/8/31 0:00,4737437
2021/7/31 0:00,5240045
2021/6/30 0:00,5925991
2021/5/31 0:00,6367841
2021/4/30 0:00,4684802
2021/3/31 0:00,4244583
2021/2/28 0:00,4600076
2021/1/31 0:00,4224641
2020/12/31 0:00,3786940
2020/11/30 0:00,5035959
2020/10/31 0:00,3825876
2020/9/30 0:00,4539611
2020/8/31 0:00,8735383
2020/7/31 0:00,6568515
2020/6/30 0:00,8832599
2020/5/31 0:00,10290167
2020/4/30 0:00,8959333
2020/3/31 0:00,5669826
2020/2/29 0:00,5019556
2020/1/31 0:00,3794354
,
,
