date,oppo每日新增评论,vivo每日新增评论,华为每日新增评论,小米每日新增评论,苹果每日新增评论,monthAdd comment
2020-01-31,26057,4972,414,7896,8310,47649
2020-02-29,27411,4080,263,1245,1508,34507
2020-03-31,43365,10184,1756,18032,19788,93125
2020-04-30,28891,5534,4421,6630,11051,56527
2020-05-31,16302,11085,9348,3833,13181,53749
2020-06-30,18980,13084,11171,3425,14596,61256
2020-07-31,24562,28829,19972,6673,26645,106681
2020-08-31,15866,22912,9250,5888,15138,69054
2020-09-30,8192,9782,2802,3792,6594,31162
2020-10-31,3729,10850,3721,2743,6464,27507
2020-11-30,4517,8172,1921,1867,3788,20265
2020-12-31,3259,6664,1222,1790,3012,15947
2021-01-31,6087,24609,4514,7352,11866,54428
2021-02-28,7036,21466,4824,3250,8074,44650
2021-03-31,5716,6918,3934,1146,5080,22794
2021-04-30,12560,11513,1408,912,2320,28713
2021-05-31,10713,10301,567,1704,2271,25556
2021-06-30,13942,13937,7740,2330,10070,48019
2021-07-31,18582,20502,8883,3104,11987,63058
2021-08-31,21638,29464,11039,7182,18221,87544
2021-09-30,22997,147855,11729,162857,174586,520024
2021-10-31,30222,35955,15255,3617,18872,103921
2021-11-30,17271,20109,7848,2109,9957,57294
2021-12-31,12949,14441,6358,1540,7898,43186
2022-01-31,24372,44914,30834,6312,37146,143578
2022-02-28,14838,24087,13718,2534,16252,71429
2022-03-31,6969,12640,8386,1935,10321,40251
2022-04-30,10167,22585,14701,3124,17825,68402
2022-05-31,6945,21421,12308,3021,15329,59024
2022-06-30,2930,23667,16928,4349,21277,69151
2022-07-31,8804,32711,20459,4142,24601,90717
2022-08-31,10228,50363,42926,11283,54209,169009
2022-09-30,10849,24258,16249,4039,20288,75683
2022-10-31,5951,16774,5056,2312,7368,37461
2022-11-30,6882,18595,4870,1985,6855,39187
2022-12-31,7895,16666,3416,2206,5622,35805
2023-01-31,9058,26367,9139,4534,13673,62771
2023-02-28,5861,10592,7660,1434,9094,34641
2023-03-31,10135,7825,5029,1142,6171,30302
2023-04-30,9575,10269,9876,2033,11909,43662
2023-05-31,5765,9049,6990,1514,8504,31822
2023-06-30,5523,11940,9891,2020,11911,41285
2023-07-31,23103,42059,41344,10523,51867,168896
2023-08-31,24098,74174,161964,14140,176104,450480
2023-09-30,19591,18584,13883,2623,16506,71187
2023-10-31,18886,15483,9318,1816,11134,56637
2023-11-30,14552,11016,6923,71,6994,39556
2023-12-31,15585,10278,7505,1460,8965,43793
2024-01-31,26428,18118,15882,3345,19227,83000
2024-02-29,30543,19110,13336,3288,16624,82901
2024-03-31,16830,12181,8734,2072,10806,50623
2024-04-30,14571,9934,5686,1948,7634,39773
2024-05-31,15135,9927,5839,1660,7499,40060
2024-06-30,20712,14674,12051,2362,14413,64212
2024-07-31,32446,21539,15103,3116,18219,90423
2024-08-31,33528,20763,12431,2738,15169,84629
2024-09-30,11548,9679,6652,1310,7962,37151
2024-10-31,11875,9279,5611,1511,7122,35398
2024-11-30,10067,7639,3924,1374,5298,28302
2024-12-31,13202,11521,6706,2189,8895,42513
