revenue,download,reviews,rating
118832093,990042814,64287,4.527298883
112703658,495702667,50585,3.777788423
120810849,705470645,117053,3.737721307
118968592,587809376,106922,4.008438611
119141592,400689138,71924,4.235820591
110595868,669859943,78502,4.034050164
113791537,606033933,125707,4.273266946
118454158,626772631,87094,4.335146882
110436089,540103381,38934,4.051078504
112087259,342275569,32448,3.923735175
107439119,318202465,26461,3.750836712
114094097,169968789,27685,4.01478982
154955971,356615434,66117,3.834293247
165904589,346188515,54134,3.548582556
180676174,118431332,27431,3.891604204
175402523,316629515,35274,3.590388356
177129124,236940615,29874,3.922038543
160935961,585288727,53720,3.835230265
184972049,564543755,69699,3.884519852
188127420,671286540,96206,3.716851824
137212463,428668205,540898,2.681460454
158170129,333990412,111067,3.108652697
144448877,497158313,63641,3.385226556
143086883,223106738,47459,3.464871998
183669470,553018419,158274,3.112597798
169267767,614085423,79165,3.222608483
163525028,291772527,46793,3.643153311
166219446,436009272,79490,2.816146145
176746293,252577544,68595,2.824872766
156247410,109674496,79068,2.615868044
169369150,243378252,101558,2.981467003
166227457,229053004,179756,3.106549137
146655610,156451003,82938,2.646193524
142448753,211700428,40980,2.574685275
153036889,100667322,43491,2.777289616
152733471,133438723,45696,2.878646972
185906995,284988143,70048,3.633202363
156885626,194448266,38074,2.739928276
149718025,97589856,34927,3.232270018
135691103,114306581,47965,1.932052258
110260527,92509337,34403,2.955899436
106419172,222488136,44766,2.202626607
114772641,170285240,175536,2.75033631
112577007,230647336,458518,2.891533453
106982787,276355867,75085,3.22928606
110295439,84944626,59459,3.220265926
108365951,65433310,42433,3.097413677
113033158,92446623,47880,3.243042233
101736157,363273782,87777,3.411280983
111575478,144874256,90963,3.208102502
123095366,111760933,58883,3.453040934
123459119,178860187,45616,3.333377719
120027918,94128489,43917,2.974104246
111430417,233329728,70395,3.189418382
120135183,149197878,99838,3.344231171
124253442,2573237254,96092,3.400541923
114046358,4798909290,51615,3.289173428
119918177,38980051,42856,3.242099972
122240453,135353487,34813,3.160899543
95809038,34903966,46991,3.574641074
