Y_original,zp,Y_macro_pred,Y_adjusted
0.563779557597984,0.0,0.7262306257471616,-0.16245106814917754
0.3125273343185467,0.0859481216082496,0.6728768077485658,-0.36034947343001916
0.493868886648225,0.1586133543645978,0.6277685781472376,-0.13389969149901265
0.3409278690222436,0.3730776444429551,0.4946360734929367,-0.1537082044706931
0.3340320540359668,0.4891852190955555,0.42256024111455215,-0.08852818707858534
0.3212190462815349,0.4597431755225376,0.44083691086495597,-0.11961786458342105
0.5121123363445215,0.3778419341582781,0.4916785563115545,0.020433780032966975
0.4203713771151355,0.5078124185733146,0.4109970772877757,0.009374299827359822
0.3306060812811,0.3176210702453302,0.5290617236549258,-0.1984556423738258
0.2057860622028448,0.3002006964907494,0.5398757290500154,-0.33408966684717056
0.1896976298276002,0.3785129268742025,0.4912620257047893,-0.3015643958771891
0.1537251704874785,0.3328961238645534,0.51957946371173,-0.36585429322425156
0.5342418322162369,0.3666664929276808,0.4986159092904713,0.03562592292576561
0.526033587889578,0.4008629094882485,0.4773878783430029,0.0486457095465751
0.6094765732088203,0.4039913740320715,0.4754458285952843,0.13403074461353603
0.6091215213213157,0.4465855680639414,0.4490047286195155,0.16011679270180018
0.6236720276073175,0.5506509547619233,0.38440429759270545,0.2392677300146121
0.778165484737323,0.5448574663026949,0.3880007081139211,0.39016477662340193
0.6256308919038086,0.5224273491315355,0.4019246004206304,0.22370629148317822
0.8736092136150383,0.503495523889015,0.4136768660835685,0.4599323475314698
1.0,0.432953358017385,0.4574671643322791,0.5425328356677209
0.7518633460534931,0.4692855689595126,0.43491330121321814,0.316950044840275
0.3645536213107399,0.5434736171585923,0.3888597569679321,-0.02430613565719225
0.2140020173492621,0.5480115204931417,0.38604277314005603,-0.17204075579079392
0.8342459656178011,0.5170818471559604,0.40524291540156643,0.42900305021623464
0.6745391094488091,0.596664227945309,0.3558407437068415,0.31869836574196764
0.6589162760084195,0.5944409057757671,0.35722091030229847,0.30169536570612104
0.6662584279395889,0.5840943971902257,0.363643688667485,0.3026147392721039
0.6099209348234456,0.5358441138336927,0.3935959062193581,0.21632502860408748
0.5404795469443489,0.6006875752629754,0.3533431796354551,0.18713636730889377
0.5696696202147378,0.5979796614845148,0.35502416505070833,0.21464545516402944
0.7458345875233727,0.5831160591590872,0.3642510093194986,0.3815835782038741
0.4561006590093538,0.5732617023341323,0.3703682757669063,0.08573238324244753
0.3112538761357321,0.5806880796546794,0.3657582205785526,-0.05450434444282054
0.463206097174342,0.5411208279902463,0.3903202924948069,0.07288580467953515
0.3572561052501755,0.5487555812161932,0.3855808842743687,-0.028324779024193225
0.650843150377863,0.4842081526122655,0.42564984324136435,0.22519330713649865
0.3816066101156135,0.4840178336887022,0.4257679870823173,-0.0441613769667038
0.4085930762578466,0.5417802193182728,0.3899109636549547,0.018682112602891876
0.2625012200733039,0.6649722214969935,0.3134373474765274,-0.05093612740322351
0.0352223291949608,0.6583489569757598,0.31754885617747547,-0.28232652698251465
0.0397449485499241,0.6088582942331093,0.3482710611912941,-0.30852611264137
0.2080953059879753,0.7674480770984016,0.24982364601684226,-0.04172834002886697
0.5350583086224118,0.7908337447794477,0.23530657881533623,0.29975172980707554
0.1702340597854477,0.8376536936325073,0.20624226672721802,-0.036008206941770315
0.0602247727368128,0.8716739488142967,0.1851235910741511,-0.1248988183373383
0.0111340779003245,1.0,0.10546292308832128,-0.09432884518799678
0.0417136309681553,0.8682163199889187,0.18726997537672796,-0.14555634440857265
0.1635958480959203,0.8767502263405734,0.18197240193610553,-0.018376553840185245
0.1058146432912268,0.710423337519326,0.2852227626000637,-0.17940811930883688
0.0880580033017739,0.7515953685843674,0.25966449546201953,-0.17160649216024565
0.0854235077637372,0.727802092869927,0.27443459256600106,-0.18901108480226386
0.0723673560902553,0.8065487553212918,0.22555120782401616,-0.15318385173376087
0.1294825422758191,0.7284906339795134,0.27400716848321693,-0.14452462620739784
0.1417417474889835,0.7140977665104146,0.2829417957566826,-0.1412000482676991
0.1735303598711729,0.6482816846469966,0.3237982936930427,-0.1502679338218698
0.1144644931023425,0.6306119843007172,0.3347670729836727,-0.2203025798813302
0.0510574484712666,0.682132825202112,0.3027845989382622,-0.2517271504669956
0.0,0.7894435675991074,0.23616955590986477,-0.23616955590986477
0.0761976605151638,0.8010204096555524,0.22898302626244116,-0.15278536574727736
